,coronavirus,covid19,corona,covid_19,stayhome,quarantine,love,covid,virus,art,instagood,photooftheday,instagram,photography,picoftheday,stayathome,staysafe,explorepage,quedateencasa,fashion,explore,yomequedoencasa,fitness,beautiful,nature,cuarentena,life,memes,tiktok,drawing,follow,lockdown,artist,socialdistancing,likeforlikes,cute,illustration,design,music,followforfollowback,italia,pandemic,shanghai,motivation,2020,repost,travel,streetphotography,iorestoacasa,india,tbt,coronamemes,funny,followme,mila_polaroid,photoalbum,gerobokphoto,polaroid,polaroidmurahmalaysia,polaroidmurah,polaroidkalisair,polaroidfamily,polaroidmember,polaroidviral,quarentena,alien,food,me,ancientaliens,china,ufo,meme,s4,spaceship,contacttour,ufos,uap,ufologia,area51,unidentifiedflyingobject,unidentified,unacknowledged,ufosightings,et,ets,disclosure,siriusdisclosure,cseti,mufon,drstevengreer,djteez,tothestarsacademy,коронавирус,viral,artwork,health,italy,superring,happy,covıd19,instadaily,goodvibes,mask,smile,paris,comedy,saude,fun,magras,leica,كورونا,style,selflove,selfcare,pandemia,nutricaosaudavel,السعودية,girl,artistsoninstagram,herbagaharu,اكسبلورر,الامارات,قطر,ipastayathome,luciecovidphoto,مصر,كرونا,كويت,البحرين,حجر,صحي,حجر_صحي,وزارة,الصحة,وزارة_الصحة_الكويت,حظر_التجول,ضحك,کرونا,peace,mentalhealth,quoteoftheday,selfie,happiness,confinement,support,like,mindfulness,空城紀,theemptiness,anxiety,draw,photo,lifestyle,sketch,quarantinelife,humor,کروناویروس,feminism,depression,psychology,like4likes,youtube,funnymemes,instalike,like4like,facts,model,blogger,memesdaily,dankmemes,کرونا_ویروس,family,instaart,likeforfollow,therapy,mentalhealthawareness,mentalhealthawarenessweek,suicide,mentalhealthsupport,psych,therapistsofinstagram,suicidepreventation,psychotherapy,psychotherapis,mytherapistsays,psychologicalcounseling,advice,therapistproblems,takeiteasy,fiqueemcasa,spring,facebook,friends,newyork,photographer,digitalart,artoftheday,travelphotography,beauty,sketchbook
instagood,209.0,19.0,59.0,32.0,56.0,40.0,126.0,17.0,21.0,76.0,268.0,146.0,70.0,61.0,93.0,20.0,13.0,3.0,12.0,36.0,6.0,16.0,17.0,82.0,46.0,19.0,21.0,7.0,9.0,25.0,49.0,4.0,43.0,12.0,18.0,65.0,22.0,24.0,10.0,17.0,6.0,8.0,3.0,15.0,8.0,17.0,36.0,4.0,10.0,6.0,57.0,9.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0,56.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,8.0,4.0,0.0,38.0,2.0,55.0,10.0,13.0,46.0,4.0,6.0,1.0,26.0,0.0,0.0,0.0,26.0,3.0,1.0,6.0,0.0,0.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,33.0,6.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,24.0,20.0,26.0,22.0,2.0,1.0,0.0,0.0,1.0,0.0,15.0,2.0,1.0,37.0,36.0,0.0,11.0,16.0,0.0,1.0,0.0,13.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,20.0,6.0,13.0,6.0,22.0,8.0,7.0,20.0
photooftheday,191.0,19.0,47.0,41.0,57.0,39.0,99.0,18.0,37.0,65.0,146.0,253.0,66.0,99.0,115.0,18.0,15.0,0.0,7.0,49.0,6.0,8.0,11.0,78.0,61.0,15.0,25.0,1.0,1.0,22.0,41.0,2.0,33.0,10.0,40.0,66.0,21.0,23.0,1.0,24.0,12.0,10.0,0.0,9.0,3.0,15.0,38.0,8.0,20.0,8.0,53.0,0.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,54.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,11.0,0.0,31.0,2.0,48.0,7.0,16.0,39.0,21.0,1.0,1.0,24.0,0.0,0.0,0.0,22.0,2.0,0.0,8.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,2.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,21.0,37.0,17.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,20.0,30.0,0.0,5.0,12.0,0.0,0.0,0.0,12.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,16.0,3.0,25.0,2.0,23.0,15.0,9.0,21.0
instagram,255.0,26.0,82.0,52.0,28.0,27.0,65.0,22.0,58.0,19.0,70.0,66.0,304.0,35.0,57.0,14.0,15.0,5.0,8.0,15.0,8.0,10.0,9.0,20.0,15.0,9.0,13.0,8.0,26.0,5.0,20.0,9.0,8.0,7.0,76.0,4.0,8.0,15.0,11.0,43.0,1.0,5.0,0.0,8.0,5.0,4.0,17.0,1.0,6.0,11.0,17.0,9.0,33.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,23.0,0.0,7.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,10.0,2.0,0.0,5.0,6.0,14.0,4.0,1.0,15.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,15.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,2.0,11.0,15.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,39.0,71.0,1.0,15.0,6.0,1.0,4.0,16.0,1.0,1.0,0.0,10.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,79.0,7.0,2.0,3.0,6.0,1.0,5.0,5.0,0.0
photography,171.0,11.0,34.0,31.0,38.0,23.0,52.0,17.0,10.0,36.0,61.0,99.0,35.0,204.0,67.0,11.0,16.0,0.0,6.0,27.0,7.0,7.0,10.0,33.0,60.0,2.0,14.0,1.0,3.0,2.0,8.0,5.0,5.0,14.0,13.0,14.0,1.0,20.0,5.0,7.0,12.0,5.0,1.0,6.0,4.0,2.0,40.0,14.0,16.0,4.0,19.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,27.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,15.0,0.0,12.0,3.0,17.0,7.0,1.0,14.0,22.0,1.0,0.0,8.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,3.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,44.0,13.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,14.0,8.0,0.0,10.0,14.0,1.0,0.0,0.0,15.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,5.0,6.0,43.0,0.0,1.0,19.0,9.0,0.0
picoftheday,152.0,14.0,39.0,40.0,34.0,21.0,62.0,11.0,21.0,45.0,93.0,115.0,57.0,67.0,193.0,10.0,7.0,2.0,11.0,54.0,4.0,14.0,5.0,67.0,46.0,19.0,22.0,0.0,3.0,6.0,41.0,3.0,9.0,5.0,39.0,50.0,3.0,9.0,7.0,18.0,15.0,6.0,4.0,5.0,1.0,26.0,20.0,8.0,17.0,7.0,44.0,1.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,47.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,17.0,0.0,38.0,4.0,44.0,6.0,2.0,36.0,7.0,0.0,1.0,32.0,0.0,0.0,0.0,39.0,0.0,0.0,6.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,29.0,7.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,16.0,40.0,0.0,8.0,4.0,2.0,0.0,0.0,10.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,29.0,4.0,24.0,5.0,1.0,13.0,7.0,0.0
stayathome,176.0,58.0,62.0,52.0,66.0,27.0,31.0,37.0,38.0,14.0,20.0,18.0,14.0,11.0,10.0,185.0,29.0,0.0,32.0,7.0,1.0,3.0,5.0,5.0,8.0,2.0,6.0,2.0,0.0,8.0,7.0,11.0,8.0,15.0,6.0,7.0,8.0,1.0,6.0,1.0,14.0,26.0,0.0,8.0,2.0,1.0,3.0,1.0,20.0,4.0,7.0,11.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,10.0,6.0,0.0,4.0,12.0,4.0,0.0,15.0,6.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,7.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,6.0,5.0,0.0,1.0,2.0,2.0
staysafe,174.0,80.0,60.0,26.0,99.0,46.0,30.0,27.0,30.0,8.0,13.0,15.0,15.0,16.0,7.0,29.0,221.0,0.0,14.0,12.0,2.0,8.0,5.0,1.0,1.0,8.0,7.0,5.0,2.0,2.0,1.0,48.0,7.0,34.0,14.0,2.0,3.0,1.0,4.0,13.0,6.0,16.0,0.0,4.0,1.0,1.0,0.0,1.0,7.0,21.0,1.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,2.0,0.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,20.0,4.0,0.0,4.0,8.0,0.0,5.0,13.0,5.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,2.0,1.0,0.0,3.0,1.0
explorepage,157.0,5.0,92.0,10.0,8.0,25.0,22.0,11.0,3.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,189.0,0.0,5.0,112.0,0.0,2.0,0.0,0.0,0.0,0.0,51.0,14.0,1.0,15.0,2.0,7.0,0.0,2.0,5.0,1.0,1.0,10.0,12.0,0.0,2.0,0.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,2.0,0.0,2.0,0.0,18.0,0.0,1.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,5.0,0.0,35.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
quedateencasa,148.0,33.0,11.0,52.0,26.0,14.0,16.0,21.0,10.0,7.0,12.0,7.0,8.0,6.0,11.0,32.0,14.0,0.0,161.0,6.0,0.0,58.0,4.0,13.0,2.0,63.0,5.0,4.0,9.0,5.0,2.0,1.0,3.0,6.0,2.0,2.0,4.0,2.0,4.0,1.0,5.0,7.0,0.0,1.0,1.0,2.0,3.0,0.0,6.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,8.0,3.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0
fashion,111.0,9.0,25.0,13.0,11.0,16.0,58.0,6.0,12.0,39.0,36.0,49.0,15.0,27.0,54.0,7.0,12.0,5.0,6.0,154.0,5.0,2.0,13.0,39.0,37.0,3.0,12.0,4.0,7.0,8.0,37.0,2.0,7.0,4.0,7.0,42.0,6.0,23.0,11.0,3.0,3.0,1.0,1.0,0.0,8.0,28.0,6.0,2.0,8.0,2.0,36.0,1.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,43.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,4.0,5.0,0.0,40.0,0.0,32.0,11.0,2.0,34.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,6.0,19.0,5.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,30.0,0.0,21.0,9.0,2.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,11.0,2.0,4.0,2.0,10.0,2.0
explore,135.0,6.0,82.0,11.0,9.0,23.0,13.0,10.0,4.0,3.0,6.0,6.0,8.0,7.0,4.0,1.0,2.0,112.0,0.0,5.0,141.0,1.0,2.0,5.0,4.0,0.0,0.0,21.0,10.0,1.0,15.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,7.0,8.0,0.0,2.0,0.0,0.0,9.0,6.0,7.0,0.0,0.0,1.0,1.0,8.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,68.0,1.0,2.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,67.0,68.0,67.0,0.0,0.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,5.0,0.0,12.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,4.0,0.0
yomequedoencasa,130.0,49.0,7.0,19.0,20.0,9.0,15.0,18.0,10.0,8.0,16.0,8.0,10.0,7.0,14.0,3.0,8.0,0.0,58.0,2.0,1.0,144.0,1.0,12.0,2.0,46.0,4.0,6.0,8.0,9.0,1.0,0.0,2.0,5.0,2.0,3.0,7.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,1.0,1.0,3.0,1.0,6.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,8.0,3.0,4.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,1.0,0.0,9.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0
fitness,129.0,11.0,13.0,64.0,8.0,15.0,20.0,4.0,5.0,6.0,17.0,11.0,9.0,10.0,5.0,5.0,5.0,2.0,4.0,13.0,2.0,1.0,170.0,2.0,4.0,1.0,7.0,0.0,1.0,0.0,8.0,1.0,2.0,6.0,7.0,4.0,0.0,7.0,3.0,2.0,0.0,2.0,0.0,15.0,5.0,3.0,10.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,14.0,3.0,0.0,7.0,4.0,2.0,7.0,1.0,2.0,0.0,0.0,53.0,3.0,105.0,0.0,0.0,4.0,5.0,4.0,0.0,103.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,4.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
beautiful,90.0,9.0,9.0,10.0,5.0,8.0,58.0,5.0,4.0,59.0,82.0,78.0,20.0,33.0,67.0,5.0,1.0,0.0,13.0,39.0,5.0,12.0,2.0,139.0,37.0,12.0,12.0,0.0,8.0,26.0,31.0,1.0,23.0,1.0,5.0,40.0,20.0,27.0,3.0,9.0,2.0,1.0,0.0,4.0,1.0,24.0,21.0,0.0,5.0,6.0,53.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,38.0,6.0,37.0,6.0,0.0,45.0,0.0,5.0,0.0,27.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,19.0,12.0,21.0,1.0,6.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,32.0,0.0,9.0,8.0,0.0,0.0,0.0,11.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,23.0,1.0,9.0,0.0,20.0,5.0,15.0,20.0
nature,113.0,5.0,12.0,14.0,21.0,8.0,44.0,5.0,7.0,35.0,46.0,61.0,15.0,60.0,46.0,8.0,1.0,0.0,2.0,37.0,4.0,2.0,4.0,37.0,138.0,0.0,14.0,0.0,1.0,1.0,30.0,0.0,2.0,1.0,6.0,34.0,1.0,7.0,2.0,2.0,7.0,3.0,0.0,1.0,1.0,27.0,22.0,3.0,11.0,5.0,27.0,5.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,27.0,4.0,27.0,6.0,4.0,29.0,18.0,0.0,0.0,29.0,0.0,0.0,0.0,25.0,1.0,1.0,2.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,2.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,22.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,28.0,1.0,24.0,2.0,1.0,9.0,3.0,0.0
cuarentena,128.0,37.0,10.0,21.0,36.0,34.0,10.0,21.0,10.0,6.0,19.0,15.0,9.0,2.0,19.0,2.0,8.0,0.0,63.0,3.0,0.0,46.0,1.0,12.0,0.0,143.0,2.0,6.0,11.0,8.0,1.0,0.0,2.0,5.0,5.0,10.0,5.0,2.0,4.0,1.0,4.0,6.0,0.0,1.0,2.0,4.0,0.0,1.0,5.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,3.0,2.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,8.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
